latitude,longitude,home_size,lot_size,zoning,sex_offenders,crime_index,enviornmental_hazards,school_quality,bedrooms,bathrooms,sale_price,date,sale_price_cpi,age,neighborhood
33.917393,-118.037077,1995.0,5706.0,LCA1YY,12.0,Moderate,10.0,Above Average,3.0,2.0,585000.0,2020-11-25,765.985132643012,65.0,South Whittier
33.823831,-118.383521,1569.0,7178.0,RBR-1,1.0,Low,4.0,Excellent,3.0,2.0,1350000.0000000002,2020-11-25,1163.6149476425735,67.0,Redondo Beach
34.018840000000004,-118.120331,1764.0,8156.0,MNR1YY,16.0,Moderate,6.0,Average,3.0,3.0,670000.0,2020-11-30,819.7469483402444,63.0,Montebello
33.893097999999995,-118.392817,1744.0,4996.0,MNRS,0.0,Low,11.0,Excellent,4.0,2.0,2010000.0,2020-11-30,1419.8433638748431,72.0,Manhattan Beach
34.115344,-118.327102,1703.0,4641.0,LAR1,2.0,Slightly High,3.0,Above Average,3.0,2.0,1463500.0,2020-11-30,1211.5428268742405,64.0,Hollywood Hills
34.00761,-118.099807,1758.0,3911.0,MNRA-R3,12.0,Moderate,14.0,Average,5.0,3.0,659999.9999999999,2020-11-30,813.6064353003858,15.0,Montebello
34.212861,-118.35393,900.0,5542.0,LAR1,5.0,Low,10.0,Poor,2.0,1.0,600000.0,2020-11-30,775.7432984283822,79.0,Sun Valley
33.980456,-118.302256,996.0,2720.0,LAR4,22.0,Slightly High,10.0,Poor,2.0,1.0,457000.0,2020-11-30,677.0184548578195,92.0,Harvard Park
33.94761,-118.202238,1162.0,4834.0,SGR3,17.0,Slightly High,8.0,Average,3.0,2.0,560000.0,2020-11-30,749.4392263904903,92.0,South Gate
34.087956,-117.969994,1791.0,7637.0,BPR1,8.0,Moderate,4.0,Average,5.0,1.0,585000.0,2020-11-30,765.985132643012,71.0,Baldwin Park
34.038657,-118.481094,1459.0,8318.0,SMR1,1.0,Moderate,11.0,Excellent,2.0,1.0,2151499.9999999995,2020-11-30,1468.9705274835385,85.0,Santa Monica
33.908842,-118.107547,1328.0,4997.0,NOR1YY,12.0,Moderate,2.0,Average,3.0,2.0,420000.0,2020-11-30,649.0334086467217,58.0,Norwalk
33.885727,-118.139811,1110.0,5320.0,BFR1,14.0,Moderate,4.0,Average,3.0,1.0,570000.0,2020-11-30,756.1010394145209,70.0,Bellflower
33.890609999999995,-117.996146,1492.0,6239.0,LMR1,3.0,Low,4.0,Above Average,3.0,2.0,685000.0,2020-11-30,828.8724274214682,62.0,La Mirada
34.561286,-118.093078,1134.0,6963.0,PDR1,6.0,Moderate,2.0,Poor,3.0,2.0,319000.0000000001,2020-11-30,565.6369199893725,34.0,Missing
34.197812,-118.31171100000002,2964.0,6943.0,BUR1YY,0.0,Low,3.0,Excellent,4.0,3.0,1600000.0000000002,2020-11-25,1266.7835016887414,12.0,Burbank
34.090689000000005,-117.956597,624.0,4194.0,BPR1,7.0,Moderate,8.0,Average,1.0,1.0,332500.0000000001,2020-11-25,577.4817076919719,97.0,Baldwin Park
34.447431,-118.496451,2240.0,10406.0,SCUR2,2.0,Low,4.0,Excellent,4.0,3.0,720000.0,2020-11-25,849.7842067653737,34.0,Santa Clarita
34.195789000000005,-118.63836,1250.0,8245.0,LARS,3.0,Very Low,3.0,Excellent,3.0,2.0,720000.0,2020-11-20,849.7842067653737,61.0,West Hills
34.230546999999994,-118.43833400000001,996.0,6002.0,LAR1,6.0,Low,8.0,Average,3.0,1.0,580000.0,2020-11-20,762.7046673219336,70.0,Panorama City
33.981244000000004,-118.293869,1150.0,3900.0,LAR1,22.0,Slightly High,10.0,Poor,2.0,1.0,497500.0,2020-11-20,706.3809033442128,94.0,Vermont-Slauson
34.296075,-118.507631,1630.0,9913.0,LARS,2.0,Low,4.0,Above Average,3.0,2.0,740000.0,2020-11-20,861.5059219586017,59.0,Granada Hills
34.004748,-117.842445,1132.0,5154.0,LCR1,0.0,Low,6.0,Excellent,3.0,2.0,614000.0000000001,2020-11-20,784.7414503566545,43.0,Diamond Bar
34.715429,-118.152928,1622.0,6248.0,LRR7000,4.0,Moderate,2.0,Poor,3.0,2.0,360000.0,2020-11-20,600.888175149027,31.0,Lancaster
33.795308,-118.299509,1317.0,11001.0,LARD1.5,4.0,Moderate,10.0,Average,3.0,2.0,615000.0,2020-11-20,785.3802306417955,67.0,Harbor City
33.955220000000004,-118.309898,1208.0,5197.0,LAR1,22.0,Slightly High,5.0,Poor,2.0,1.0,700000.0,2020-11-20,837.8985276069952,95.0,Gramercy Park
34.583495,-118.075052,914.0,6069.0,LCRA7000,1.0,Moderate,4.0,Poor,3.0,1.0,255000.0,2020-11-20,505.7227576934146,66.0,Missing
34.019382,-118.325301,842.0,4535.0,LARD2,22.0,Slightly High,8.0,Poor,2.0,1.0,644999.9999999999,2020-11-20,804.3077706548578,96.0,Leimert Park
34.716837,-118.149457,1344.0,6386.0,LRRA6000,3.0,Moderate,2.0,Poor,3.0,2.0,221000.0,2020-11-20,470.8022656018425,63.0,Lancaster
34.246971,-118.25709199999999,1578.0,7866.0,GLR1YY,4.0,Low,2.0,Excellent,3.0,2.0,985000.0,2020-11-20,993.9408098412248,63.0,Glendale
34.108133,-118.201467,990.0,1989.0,LARD2,16.0,Slightly High,6.0,Average,2.0,1.0,741999.9999999999,2020-11-20,862.6693335919208,98.0,Highland Park
34.04396,-118.36633799999998,1823.0,4795.0,LAR1,13.0,Slightly High,4.0,Average,3.0,3.0,1357999.9999999998,2020-11-20,1167.0576029391107,88.0,Mid-City
34.712585,-118.156361,1590.0,6337.0,LRR1,4.0,Moderate,2.0,Poor,3.0,2.0,358000.0,2020-11-20,599.2167166257458,18.0,Lancaster
34.302368,-118.444846,1223.0,5644.0,LAR1,18.0,Low,8.0,Average,3.0,2.0,585000.0,2020-11-20,765.985132643012,59.0,Sylmar
34.168515,-118.062393,1334.0,8314.0,SRR175,3.0,Very Low,2.0,Excellent,2.0,2.0,910500.0,2020-11-20,955.61373301314,63.0,Sierra Madre
33.952178,-118.039645,1173.0,6556.0,LCRA6000,5.0,Moderate,7.0,Above Average,3.0,1.0,605000.0,2020-11-20,778.9688562015925,67.0,South Whittier
33.954754,-118.032101,1607.0,6928.0,WHR1YY,5.0,Moderate,4.0,Above Average,3.0,2.0,675000.0000000001,2020-11-20,822.8000201680933,70.0,Whittier
33.891564,-118.223416,1009.0,7748.0,COR3,22.0,High,15.5,Poor,3.0,1.0,770000.0,2020-11-20,878.7953896229586,76.0,Compton
34.097357,-117.903659,1820.0,7083.0,LCRA07,9.0,Moderate,7.0,Above Average,4.0,2.0,600000.0,2020-11-20,775.7432984283822,66.0,Missing
34.191072,-118.150754,1277.0,5321.0,LCR1YY,4.0,Moderate,5.0,Poor,3.0,1.0,655000.0,2020-11-20,810.5187337049832,96.0,Altadena
34.00532800000001,-117.786716,2641.0,8400.0,LCRPD200002U,0.0,Low,2.0,Above Average,6.0,3.0,920000.0,2020-11-20,960.5861507885196,32.0,Diamond Bar
34.163118,-118.584116,2230.0,12325.0,LARA,5.0,Very Low,3.0,Above Average,3.0,4.0,1145000.0000000002,2020-11-20,1071.630709471742,64.0,Woodland Hills
33.823432000000004,-118.121206,1312.0,6475.0,LBR1N,2.0,Slightly High,3.0,Above Average,3.0,2.0,749999.9999999999,2020-11-20,867.3073741878842,71.0,Long Beach
34.682844,-118.180851,2048.0,10096.0,LRRA7000,1.0,Moderate,2.0,Average,3.0,2.0,370000.0,2020-11-20,609.1766794492959,47.0,Lancaster
34.111917,-118.43308999999999,1622.0,13181.0,LARE15,1.0,Moderate,2.0,Above Average,2.0,3.0,900000.0,2020-11-20,950.0876262665563,47.0,Beverly Crest
34.10668,-118.227066,1288.0,4800.0,LAR1,12.0,Slightly High,4.0,Poor,3.0,3.0,1020500.0,2020-11-20,1011.6933883265599,13.0,Glassell Park
34.133185,-118.342418,1765.0,9125.0,LAR1,0.0,Slightly High,3.0,Above Average,3.0,2.0,1170000.0000000002,2020-11-20,1083.2665631599016,79.0,Hollywood Hills
33.817578999999995,-118.368149,1543.0,6388.0,TORR-LO,0.0,Low,3.0,Excellent,3.0,1.0,1070000.0,2020-11-20,1035.9392691421833,71.0,Torrance
34.05687,-118.31886000000002,2176.0,7455.0,LAR2,6.0,Slightly High,5.0,Above Average,5.0,3.0,1550000.0000000002,2020-11-20,1246.8329083706756,101.0,Koreatown
34.692817,-118.092287,1544.0,5969.0,LRA22,9.0,Moderate,2.0,Average,3.0,2.0,294999.99999999994,2020-11-20,543.9430288668124,28.0,Lancaster
33.785117,-118.368329,1595.0,16437.0,RERA10000,0.0,Very Low,3.0,Excellent,3.0,2.0,1200000.0000000002,2020-11-20,1097.0666935574575,63.0,Rolling Hills Estates
33.841057,-118.375943,4417.0,6408.0,RBR-3,1.0,Low,5.0,Excellent,3.0,5.0,2120000.0,2020-11-20,1458.177315418052,8.0,Redondo Beach
34.0336,-117.93904599999999,1014.0,5948.0,LPR106,10.0,Moderate,4.0,Average,3.0,1.0,510000.00000000006,2020-11-20,715.1999827307494,66.0,La Puente
33.822625,-118.359534,1559.0,5180.0,TORR-LO,0.0,Low,5.0,Excellent,3.0,1.0,949000.0,2020-11-20,975.6083607495567,67.0,Torrance
34.042134000000004,-118.006421,1254.0,8062.0,LCA106,9.0,Moderate,8.0,Average,3.0,2.0,632000.0,2020-11-20,796.1610853712723,57.0,Missing
34.120978,-118.189478,841.0,3123.0,LAR1,15.0,Slightly High,4.0,Average,2.0,1.0,1100000.0,2020-11-20,1050.3613914285254,83.0,Highland Park
34.08974,-118.266796,1440.0,3417.0,LAR2,8.0,Slightly High,3.0,Above Average,3.0,2.0,1289999.9999999998,2020-11-20,1137.4629575821687,61.0,Silver Lake
34.39867,-118.468708,1392.0,9181.0,SCUR2,0.0,Low,4.0,Excellent,3.0,2.0,585000.0,2020-11-20,765.985132643012,55.0,Santa Clarita
